dcode,dname
1001,เขตพระนคร
1002,เขตดุสิต
1003,เขตหนองจอก
1004,เขตบางรัก
1005,เขตบางเขน
1006,เขตบางกะปิ
1007,เขตปทุมวัน
1008,เขตป้อมปราบศัตรูพ่าย
1009,เขตพระโขนง
1010,เขตมีนบุรี
1011,เขตลาดกระบัง
1012,เขตยานนาวา
1013,เขตสัมพันธวงศ์
1014,เขตพญาไท
1015,เขตธนบุรี
1016,เขตบางกอกใหญ่
1017,เขตห้วยขวาง
1018,เขตคลองสาน
1019,เขตตลิ่งชัน
1020,เขตบางกอกน้อย
1021,เขตบางขุนเทียน
1022,เขตภาษีเจริญ
1023,เขตหนองแขม
1024,เขตราษฎร์บูรณะ
1025,เขตบางพลัด
1026,เขตดินแดง
1027,เขตบึงกุ่ม
1028,เขตสาทร
1029,เขตบางซื่อ
1030,เขตจตุจักร
1031,เขตบางคอแหลม
1032,เขตประเวศ
1033,เขตคลองเตย
1034,เขตสวนหลวง
1035,เขตจอมทอง
1036,เขตดอนเมือง
1037,เขตราชเทวี
1038,เขตลาดพร้าว
1039,เขตวัฒนา
1040,เขตบางแค
1041,เขตหลักสี่
1042,เขตสายไหม
1043,เขตคันนายาว
1044,เขตสะพานสูง
1045,เขตวังทองหลาง
1046,เขตคลองสามวา
1047,เขตบางนา
1048,เขตทวีวัฒนา
1049,เขตทุ่งครุ
1050,เขตบางบอน
